cty,Name,Change_in_Fraction_of_College_Graduates
cty18149,"Starke County, IN",4.7459345
cty18095,"Madison County, IN",4.7368536
cty18099,"Marshall County, IN",4.6712055
cty19005,"Allamakee County, IA",4.6310244
cty18137,"Ripley County, IN",4.4030123
cty18145,"Shelby County, IN",4.341239
cty18165,"Vermillion County, IN",4.3351812
cty18159,"Tipton County, IN",4.2970629
cty19007,"Appanoose County, IA",4.1922922
cty18167,"Vigo County, IN",4.0241165
cty18177,"Wayne County, IN",4.019455
cty18109,"Morgan County, IN",3.8600264
cty18139,"Rush County, IN",3.5894699
cty18157,"Tippecanoe County, IN",3.3383503
cty18153,"Sullivan County, IN",3.2652922
cty18175,"Washington County, IN",2.8877835
cty18093,"Lawrence County, IN",2.8088951
cty18143,"Scott County, IN",2.7940502
cty18179,"Wells County, IN",2.2273407
cty18181,"White County, IN",1.9352131
cty18123,"Perry County, IN",1.7836132
cty18119,"Owen County, IN",1.6360149
cty18135,"Randolph County, IN",1.4545622
cty18111,"Newton County, IN",1.3888025
cty18103,"Miami County, IN",1.3106956
cty18121,"Parke County, IN",1.055109
cty18125,"Pike County, IN",0.66851807
cty18101,"Martin County, IN",0.26676178
cty18115,"Ohio County, IN",
cty18161,"Union County, IN",
cty18171,"Warren County, IN",
cty19001,"Adair County, IA",
cty19009,"Audubon County, IA",
cty19017,"Bremer County, IA",12.192377
cty19059,"Dickinson County, IA",10.302933
cty19027,"Carroll County, IA",8.8647213
cty19075,"Grundy County, IA",8.8422585
cty19077,"Guthrie County, IA",8.794529
cty19083,"Hardin County, IA",8.2839441
cty19061,"Dubuque County, IA",8.1926651
cty19035,"Cherokee County, IA",7.8441744
cty19095,"Iowa County, IA",7.7519073
cty19021,"Buena Vista County, IA",7.1224651
cty19019,"Buchanan County, IA",7.071126
cty19011,"Benton County, IA",6.8566589
cty19103,"Johnson County, IA",6.830574
cty19051,"Davis County, IA",6.7037621
cty19031,"Cedar County, IA",6.40942
cty19013,"Black Hawk County, IA",6.3676758
cty19063,"Emmet County, IA",6.2080994
cty19033,"Cerro Gordo County, IA",6.0497246
cty19057,"Des Moines County, IA",5.7379074
cty19043,"Clayton County, IA",5.6282511
cty19015,"Boone County, IA",5.5601463
cty19085,"Harrison County, IA",5.216239
cty19087,"Henry County, IA",5.1594486
cty19081,"Hancock County, IA",5.1413984
cty19025,"Calhoun County, IA",4.9805832
cty19101,"Jefferson County, IA",4.7952003
cty19109,"Kossuth County, IA",4.6334486
cty19099,"Jasper County, IA",4.4407053
cty19105,"Jones County, IA",4.4174728
cty19091,"Humboldt County, IA",4.3174047
cty19065,"Fayette County, IA",4.3087225
cty19045,"Clinton County, IA",4.1934042
cty19023,"Butler County, IA",4.0108557
cty19097,"Jackson County, IA",3.9374275
cty19047,"Crawford County, IA",3.8206034
cty19041,"Clay County, IA",3.7678728
cty19079,"Hamilton County, IA",3.6323977
cty19107,"Keokuk County, IA",3.5957031
cty19055,"Delaware County, IA",3.4516506
cty19039,"Clarke County, IA",3.3977985
cty19067,"Floyd County, IA",2.9830379
cty19037,"Chickasaw County, IA",2.6765165
cty19089,"Howard County, IA",2.5728674
cty19069,"Franklin County, IA",1.8089218
cty19029,"Cass County, IA",0.88780689
cty19049,"Dallas County, IA",
cty19053,"Decatur County, IA",
cty19071,"Fremont County, IA",
cty19073,"Greene County, IA",
cty19093,"Ida County, IA",
cty19125,"Marion County, IA",10.555991
cty19191,"Winneshiek County, IA",9.693737
cty19153,"Polk County, IA",9.5058804
cty19181,"Warren County, IA",9.0487823
cty20005,"Atchison County, KS",9.0345535
cty19129,"Mills County, IA",8.3390684
cty19139,"Muscatine County, IA",7.8343945
cty19163,"Scott County, IA",7.7426891
cty19113,"Linn County, IA",7.6080456
cty20011,"Bourbon County, KS",7.4112377
cty19167,"Sioux County, IA",7.1953363
cty19169,"Story County, IA",7.048214
cty20009,"Barton County, KS",6.7949343
cty19155,"Pottawattamie County, IA",6.7137737
cty19183,"Washington County, IA",6.2029142
cty19131,"Mitchell County, IA",6.1072426
cty19171,"Tama County, IA",5.4765272
cty19119,"Lyon County, IA",5.3421936
cty19149,"Plymouth County, IA",5.3404026
cty19157,"Poweshiek County, IA",5.1990776
cty19141,"O'Brien County, IA",5.114336
cty19137,"Montgomery County, IA",4.9675131
cty19121,"Madison County, IA",4.710453
cty19111,"Lee County, IA",4.3769674
cty20001,"Allen County, KS",3.874361
cty20013,"Brown County, KS",3.7638798
cty19197,"Wright County, IA",3.324749
cty19115,"Louisa County, IA",3.2590542
cty19117,"Lucas County, IA",
cty19145,"Page County, IA",4.0480556
cty19123,"Mahaska County, IA",4.0413704
cty19127,"Marshall County, IA",2.3890467
cty19133,"Monona County, IA",
cty19135,"Monroe County, IA",
cty19143,"Osceola County, IA",
cty19147,"Palo Alto County, IA",
cty19151,"Pocahontas County, IA",
cty19159,"Ringgold County, IA",
cty19187,"Webster County, IA",4.3727713
cty19161,"Sac County, IA",3.9027624
cty19165,"Shelby County, IA",3.8339128
cty19173,"Taylor County, IA",
cty19179,"Wapello County, IA",3.8027439
cty19175,"Union County, IA",2.2209835
cty19177,"Van Buren County, IA",
cty19185,"Wayne County, IA",
cty19193,"Woodbury County, IA",3.6818867
cty19189,"Winnebago County, IA",2.5901728
cty17183,"Vermilion County, IL",2.1383839
cty17185,"Wabash County, IL",1.3063049
cty19195,"Worth County, IA",
cty20003,"Anderson County, KS",
cty20007,"Barber County, KS",
cty23005,"Cumberland County, ME",10.761372
cty23015,"Lincoln County, ME",8.4683189
cty23009,"Hancock County, ME",8.3149033
cty22075,"Plaquemines Parish, LA",7.9116225
cty23007,"Franklin County, ME",7.1499405
cty22103,"St. Tammany Parish, LA",7.0946102
cty22121,"West Baton Rouge Parish, LA",7.0500431
cty23011,"Kennebec County, ME",6.9741344
cty22063,"Livingston Parish, LA",6.9121599
cty20015,"Butler County, KS",6.9089336
cty22071,"Orleans Parish, LA",6.8629818
cty22093,"St. James Parish, LA",6.5468426
cty23023,"Sagadahoc County, ME",6.1371098
cty22105,"Tangipahoa Parish, LA",6.0853443
cty23013,"Knox County, ME",5.9573975
cty22115,"Vernon Parish, LA",5.84519
cty22125,"West Feliciana Parish, LA",5.7207909
cty22073,"Ouachita Parish, LA",5.3144493
cty23019,"Penobscot County, ME",5.2557487
cty22055,"Lafayette Parish, LA",5.2182541
cty22109,"Terrebonne Parish, LA",5.1505089
cty23001,"Androscoggin County, ME",5.1178608
cty22061,"Lincoln Parish, LA",4.9777546
cty22095,"St. John the Baptist Parish, LA",4.9703226
cty22079,"Rapides Parish, LA",4.7735033
cty23017,"Oxford County, ME",4.5478029
cty22099,"St. Martin Parish, LA",4.4267349
cty22057,"Lafourche Parish, LA",4.4069405
cty22069,"Natchitoches Parish, LA",4.3791676
cty22059,"LaSalle Parish, LA",4.2865038
cty22051,"Jefferson Parish, LA",4.2345314
cty22077,"Pointe Coupee Parish, LA",4.2243128
cty22089,"St. Charles Parish, LA",4.205739
cty23025,"Somerset County, ME",4.0916061
cty22117,"Washington Parish, LA",4.0386181
cty20021,"Cherokee County, KS",3.8212004
cty20027,"Clay County, KS",
cty20029,"Cloud County, KS",
cty20031,"Coffey County, KS",
cty20149,"Pottawatomie County, KS",11.517808
cty20091,"Johnson County, KS",9.9737701
cty20139,"Osage County, KS",9.8141327
cty20045,"Douglas County, KS",8.8988838
cty20051,"Ellis County, KS",8.7701435
cty20041,"Dickinson County, KS",7.5089989
cty20085,"Jackson County, KS",7.336833
cty20087,"Jefferson County, KS",7.3056822
cty20161,"Riley County, KS",6.9775963
cty20113,"McPherson County, KS",6.8680515
cty20037,"Crawford County, KS",6.6003246
cty20131,"Nemaha County, KS",5.2012587
cty20061,"Geary County, KS",5.0164108
cty20125,"Montgomery County, KS",4.8546972
cty20035,"Cowley County, KS",4.3537455
cty20043,"Doniphan County, KS",
cty20055,"Finney County, KS",2.2802563
cty20057,"Ford County, KS",
cty20121,"Miami County, KS",9.8932781
cty20099,"Labette County, KS",5.1015177
cty20059,"Franklin County, KS",4.8211966
cty20067,"Grant County, KS",
cty20073,"Greenwood County, KS",
cty20077,"Harper County, KS",
cty20079,"Harvey County, KS",4.34729
cty20095,"Kingman County, KS",
cty20133,"Neosho County, KS",4.3409061
cty20115,"Marion County, KS",4.0369492
cty22119,"Webster Parish, LA",3.7131176
cty22111,"Union Parish, LA",3.6577606
cty20155,"Reno County, KS",3.5800819
cty20107,"Linn County, KS",3.4920712
cty20103,"Leavenworth County, KS",3.382412
cty23003,"Aroostook County, ME",3.1935091
cty20111,"Lyon County, KS",3.1830673
cty22053,"Jefferson Davis Parish, LA",3.1380968
cty20117,"Marshall County, KS",3.0388908
cty20123,"Mitchell County, KS",
cty20127,"Morris County, KS",
cty20137,"Norton County, KS",
cty20141,"Osborne County, KS",
cty20143,"Ottawa County, KS",
cty20145,"Pawnee County, KS",
cty20147,"Phillips County, KS",
cty20151,"Pratt County, KS",
cty20157,"Republic County, KS",
cty20169,"Saline County, KS",4.4902191
cty20159,"Rice County, KS",1.817543
cty20163,"Rooks County, KS",
cty20167,"Russell County, KS",
cty20171,"Scott County, KS",
cty20191,"Sumner County, KS",6.6407471
cty20177,"Shawnee County, KS",6.1976261
cty20173,"Sedgwick County, KS",5.0091057
cty20175,"Seward County, KS",1.6859255
cty20181,"Sherman County, KS",
cty20185,"Stafford County, KS",
cty20189,"Stevens County, KS",
cty20193,"Thomas County, KS",
cty20197,"Wabaunsee County, KS",
cty20201,"Washington County, KS",
cty20205,"Wilson County, KS",
cty21015,"Boone County, KY",10.984623
cty21037,"Campbell County, KY",10.782636
cty21035,"Calloway County, KY",9.262291
cty21067,"Fayette County, KY",8.3756752
cty21021,"Boyle County, KY",7.7002106
cty21005,"Anderson County, KY",7.4368248
cty21011,"Bath County, KY",7.2914934
cty21009,"Barren County, KY",7.1612005
cty21073,"Franklin County, KY",6.0037594
cty21017,"Bourbon County, KY",5.1563635
cty21001,"Adair County, KY",5.1060014
cty21071,"Floyd County, KY",4.9665427
cty20209,"Wyandotte County, KS",4.9168568
cty21069,"Fleming County, KY",4.9091787
cty21029,"Bullitt County, KY",4.8501
cty21003,"Allen County, KY",4.8273945
cty21007,"Ballard County, KY",
cty21019,"Boyd County, KY",4.7627611
cty21043,"Carter County, KY",4.5450506
cty21049,"Clark County, KY",3.9603682
cty21033,"Caldwell County, KY",3.9157372
cty21047,"Christian County, KY",3.8020973
cty21059,"Daviess County, KY",3.7908926
cty21045,"Casey County, KY",2.5386243
cty21061,"Edmonson County, KY",2.1782122
cty21013,"Bell County, KY",2.1318264
cty21023,"Bracken County, KY",
cty21027,"Breckinridge County, KY",1.6591358
cty21051,"Clay County, KY",1.6359315
cty21031,"Butler County, KY",1.5039515
cty21025,"Breathitt County, KY",0.64405727
cty21041,"Carroll County, KY",
cty21053,"Clinton County, KY",-0.27614307
cty21055,"Crittenden County, KY",
cty21057,"Cumberland County, KY",
cty21063,"Elliott County, KY",
cty21065,"Estill County, KY",1.2842002
cty21075,"Fulton County, KY",
cty21077,"Gallatin County, KY",
cty21117,"Kenton County, KY",10.304512
cty21111,"Jefferson County, KY",8.7762814
cty21113,"Jessamine County, KY",8.4006786
cty21167,"Mercer County, KY",7.7527962
cty21151,"Madison County, KY",7.2947464
cty21145,"McCracken County, KY",6.451436
cty21153,"Magoffin County, KY",5.981792
cty21103,"Henry County, KY",5.8284454
cty21079,"Garrard County, KY",5.7590594
cty21093,"Hardin County, KY",5.7315321
cty21179,"Nelson County, KY",5.5632257
cty21083,"Graves County, KY",5.248374
cty21125,"Laurel County, KY",5.2111588
cty21101,"Henderson County, KY",5.1593981
cty21155,"Marion County, KY",5.033402
cty21171,"Monroe County, KY",4.8726363
cty21087,"Green County, KY",4.8301678
cty21157,"Marshall County, KY",4.7600794
cty21095,"Harlan County, KY",4.6120634
cty21173,"Montgomery County, KY",4.5924444
cty21161,"Mason County, KY",4.5054045
cty21107,"Hopkins County, KY",4.4131527
cty21175,"Morgan County, KY",4.3985815
cty21097,"Harrison County, KY",4.3432493
cty21133,"Letcher County, KY",4.3067079
cty21109,"Jackson County, KY",4.1907592
cty21123,"Larue County, KY",4.1199942
cty21099,"Hart County, KY",3.9586816
cty21177,"Muhlenberg County, KY",3.64609
cty21081,"Grant County, KY",3.3792977
cty21089,"Greenup County, KY",2.3609142
cty21085,"Grayson County, KY",1.6577072
cty21091,"Hancock County, KY",
cty21169,"Metcalfe County, KY",3.7309041
cty21147,"McCreary County, KY",3.6425304
cty21183,"Ohio County, KY",3.4438052
cty21135,"Lewis County, KY",3.3477616
cty21137,"Lincoln County, KY",3.2770243
cty21131,"Leslie County, KY",3.0690837
cty21119,"Knott County, KY",2.4175262
cty21127,"Lawrence County, KY",2.2402043
cty21141,"Logan County, KY",1.8225794
cty21159,"Martin County, KY",1.5083489
cty21115,"Johnson County, KY",0.78010368
cty21121,"Knox County, KY",0.46011448
cty21129,"Lee County, KY",
cty21139,"Livingston County, KY",
cty21143,"Lyon County, KY",
cty21149,"McLean County, KY",
cty21163,"Meade County, KY",0.27177715
cty21181,"Nicholas County, KY",
cty21185,"Oldham County, KY",14.148426
cty21239,"Woodford County, KY",13.221704
cty21187,"Owen County, KY",11.391568
cty22005,"Ascension Parish, LA",11.350321
cty21209,"Scott County, KY",11.114709
cty21211,"Shelby County, KY",10.091545
cty21227,"Warren County, KY",8.6444225
cty21205,"Rowan County, KY",6.9198895
cty21213,"Simpson County, KY",6.6754255
cty21207,"Russell County, KY",6.5796938
cty21215,"Spencer County, KY",6.4780445
cty21217,"Taylor County, KY",6.199337
cty21197,"Powell County, KY",6.1014738
cty22015,"Bossier Parish, LA",5.6780376
cty21193,"Perry County, KY",5.2727556
cty22031,"De Soto Parish, LA",5.1238518
cty21221,"Trigg County, KY",4.7356176
cty22033,"East Baton Rouge Parish, LA",4.6623745
cty22019,"Calcasieu Parish, LA",4.649251
cty22049,"Jackson Parish, LA",4.4387493
cty21195,"Pike County, KY",4.3851967
cty21219,"Todd County, KY",4.3664975
cty21203,"Rockcastle County, KY",4.248517
cty21233,"Webster County, KY",4.2335219
cty21225,"Union County, KY",4.1821852
cty21229,"Washington County, KY",4.1508112
cty22045,"Iberia Parish, LA",4.0790644
cty21199,"Pulaski County, KY",3.6656027
cty21231,"Wayne County, KY",3.5572772
cty21191,"Pendleton County, KY",3.55094
cty21223,"Trimble County, KY",
cty22013,"Bienville Parish, LA",4.2747669
cty22017,"Caddo Parish, LA",4.0280533
cty22043,"Grant Parish, LA",3.304863
cty22021,"Caldwell Parish, LA",3.2206984
cty22127,"Winn Parish, LA",3.0036488
cty22037,"East Feliciana Parish, LA",2.9909554
cty22047,"Iberville Parish, LA",2.8607512
cty22087,"St. Bernard Parish, LA",2.7155676
cty22091,"St. Helena Parish, LA",2.7087007
cty22009,"Avoyelles Parish, LA",2.6188803
cty22029,"Concordia Parish, LA",2.6181049
cty22085,"Sabine Parish, LA",2.5344667
cty22039,"Evangeline Parish, LA",2.4513588
cty22003,"Allen Parish, LA",2.295712
cty22101,"St. Mary Parish, LA",2.0484066
cty22097,"St. Landry Parish, LA",1.8931122
cty22113,"Vermilion Parish, LA",1.8039904
cty23021,"Piscataquis County, ME",1.7764292
cty22007,"Assumption Parish, LA",1.599957
cty22083,"Richland Parish, LA",1.5310841
cty21235,"Whitley County, KY",1.3670044
cty21237,"Wolfe County, KY",
cty22001,"Acadia Parish, LA",2.3404789
cty22011,"Beauregard Parish, LA",0.86918926
cty22023,"Cameron Parish, LA",
cty22025,"Catahoula Parish, LA",
cty22027,"Claiborne Parish, LA",1.2447958
cty22035,"East Carroll Parish, LA",
cty22123,"West Carroll Parish, LA",0.8000803
cty22067,"Morehouse Parish, LA",0.77465534
cty22065,"Madison Parish, LA",0.16049862
cty22081,"Red River Parish, LA",
cty24029,"Kent County, MD",13.272091
cty25017,"Middlesex County, MA",13.054874
cty24021,"Frederick County, MD",12.888838
cty25021,"Norfolk County, MA",12.490799
cty24047,"Worcester County, MD",11.872186
cty25025,"Suffolk County, MA",11.821432
cty25001,"Barnstable County, MA",11.662262
cty24009,"Calvert County, MD",10.869255
cty24003,"Anne Arundel County, MD",10.778362
cty24013,"Carroll County, MD",10.530775
cty24027,"Howard County, MD",10.28096
cty24041,"Talbot County, MD",10.217424
cty25027,"Worcester County, MA",9.9923363
cty24037,"St. Mary's County, MD",9.8736267
cty25009,"Essex County, MA",9.7636948
cty24510,"Baltimore city, MD",9.4444132
cty24005,"Baltimore County, MD",9.3477249
cty24017,"Charles County, MD",9.2349339
cty25003,"Berkshire County, MA",9.2169819
cty25023,"Plymouth County, MA",9.1738167
cty26009,"Antrim County, MI",8.8797112
cty24025,"Harford County, MD",8.780117
cty25015,"Hampshire County, MA",8.6351166
cty23031,"York County, ME",8.6111565
cty26019,"Benzie County, MI",8.3480644
cty24035,"Queen Anne's County, MD",8.1202869
cty25005,"Bristol County, MA",8.0990295
cty24015,"Cecil County, MD",8.0529947
cty24023,"Garrett County, MD",7.8592434
cty25011,"Franklin County, MA",7.7544079
cty26005,"Allegan County, MI",7.7316513
cty24043,"Washington County, MD",6.9208403
cty26021,"Berrien County, MI",6.704237
cty26017,"Bay County, MI",6.6606092
cty24045,"Wicomico County, MD",5.9922733
cty25013,"Hampden County, MA",5.9767818
cty26015,"Barry County, MI",5.931654
cty23029,"Washington County, ME",5.8174524
cty26025,"Calhoun County, MI",5.0044079
cty24011,"Caroline County, MD",4.8230019
cty24039,"Somerset County, MD",4.7606974
cty23027,"Waldo County, ME",4.4922619
cty24019,"Dorchester County, MD",4.3929863
cty26023,"Branch County, MI",4.2641554
cty26011,"Arenac County, MI",3.9237933
cty24001,"Allegany County, MD",3.3158512
cty24031,"Montgomery County, MD",
cty24033,"Prince George's County, MD",
cty26007,"Alpena County, MI",3.9027681
cty26001,"Alcona County, MI",3.1886635
cty26013,"Baraga County, MI",
cty26089,"Leelanau County, MI",14.122215
cty26037,"Clinton County, MI",12.396467
cty26093,"Livingston County, MI",12.227182
cty26125,"Oakland County, MI",11.43964
cty26097,"Mackinac County, MI",9.5170984
cty26047,"Emmet County, MI",9.2195206
cty26081,"Kent County, MI",8.6973267
cty26103,"Marquette County, MI",8.3614235
cty26087,"Lapeer County, MI",8.1087151
cty26099,"Macomb County, MI",8.0694113
cty26031,"Cheboygan County, MI",7.922389
cty26029,"Charlevoix County, MI",7.2621765
cty26105,"Mason County, MI",7.256691
cty26041,"Delta County, MI",6.8517933
cty26027,"Cass County, MI",6.8273983
cty26033,"Chippewa County, MI",6.6989632
cty26055,"Grand Traverse County, MI",6.6482124
cty26115,"Monroe County, MI",6.6059151
cty26053,"Gogebic County, MI",6.3601408
cty26077,"Kalamazoo County, MI",6.1856556
cty26061,"Houghton County, MI",6.1244144
cty26049,"Genesee County, MI",6.0399332
cty26091,"Lenawee County, MI",5.9829159
cty26065,"Ingham County, MI",5.7344742
cty26101,"Manistee County, MI",5.5689812
cty26121,"Muskegon County, MI",5.3802357
cty26045,"Eaton County, MI",5.3141308
cty26073,"Isabella County, MI",5.0576134
cty26075,"Jackson County, MI",4.5316715
cty26063,"Huron County, MI",4.5243015
cty26079,"Kalkaska County, MI",4.4067612
cty26117,"Montcalm County, MI",4.347456
cty26071,"Iron County, MI",4.2300539
cty26113,"Missaukee County, MI",4.1954508
cty26043,"Dickinson County, MI",4.0615597
cty26111,"Midland County, MI",4.0405064
cty26067,"Ionia County, MI",3.8586121
cty26051,"Gladwin County, MI",3.7909355
cty26129,"Ogemaw County, MI",3.5856013
cty26109,"Menominee County, MI",3.5401592
cty26123,"Newaygo County, MI",3.3918362
cty26035,"Clare County, MI",3.2623405
cty26069,"Iosco County, MI",3.1913137
cty26059,"Hillsdale County, MI",3.0036736
cty26127,"Oceana County, MI",2.9009695
cty26057,"Gratiot County, MI",1.9768734
cty26085,"Lake County, MI",1.7597599
cty26107,"Mecosta County, MI",1.6187916
cty26039,"Crawford County, MI",1.4909706
cty26095,"Luce County, MI",
cty26119,"Montmorency County, MI",0.77736092
cty26131,"Ontonagon County, MI",
cty26133,"Osceola County, MI",3.3558159
cty26135,"Oscoda County, MI",
cty27053,"Hennepin County, MN",12.174927
cty27037,"Dakota County, MN",10.308401
cty27003,"Anoka County, MN",9.9456835
cty27021,"Cass County, MN",9.8853817
cty27027,"Clay County, MN",9.8722897
cty26139,"Ottawa County, MI",9.720705
cty27005,"Becker County, MN",9.5749226
cty27035,"Crow Wing County, MN",8.4427691
cty27017,"Carlton County, MN",8.4336786
cty26161,"Washtenaw County, MI",8.2975311
cty27049,"Goodhue County, MN",8.1623392
cty27041,"Douglas County, MN",7.9711056
cty27039,"Dodge County, MN",7.9135284
cty27045,"Fillmore County, MN",7.7579556
cty27057,"Hubbard County, MN",7.3668423
cty27055,"Houston County, MN",7.0029869
cty27007,"Beltrami County, MN",6.9191742
cty26159,"Van Buren County, MI",6.8826199
cty27013,"Blue Earth County, MN",6.8137321
cty27061,"Itasca County, MN",6.7821798
cty27071,"Koochiching County, MN",6.3519926
cty26143,"Roscommon County, MI",6.2492375
cty26141,"Presque Isle County, MI",6.0127611
cty27067,"Kandiyohi County, MN",5.7342196
cty26163,"Wayne County, MI",5.6137524
cty27015,"Brown County, MN",5.5498552
cty27065,"Kanabec County, MN",5.4259596
cty27025,"Chisago County, MN",5.28722
cty26155,"Shiawassee County, MI",5.168911
cty26137,"Otsego County, MI",5.0693407
cty27033,"Cottonwood County, MN",5.0645485
cty26145,"Saginaw County, MI",4.9556627
cty27001,"Aitkin County, MN",4.7330494
cty27059,"Isanti County, MN",4.3655758
cty27063,"Jackson County, MN",4.177865
cty27009,"Benton County, MN",4.1546144
cty26157,"Tuscola County, MI",4.0649233
cty26147,"St. Clair County, MI",3.973547
cty26165,"Wexford County, MI",3.59412
cty26151,"Sanilac County, MI",2.4398718
cty26149,"St. Joseph County, MI",2.3022623
cty26153,"Schoolcraft County, MI",
cty27011,"Big Stone County, MN",
cty27019,"Carver County, MN",
cty27023,"Chippewa County, MN",3.6697559
cty27029,"Clearwater County, MN",
cty27047,"Freeborn County, MN",3.0199671
cty27043,"Faribault County, MN",2.377388
cty22041,"Franklin Parish, LA",0.19862556
cty27073,"Lac qui Parle County, MN",
cty27163,"Washington County, MN",13.189342
cty27083,"Lyon County, MN",8.7968063
cty27119,"Polk County, MN",7.1579161
cty27131,"Rice County, MN",7.1305065
cty27135,"Roseau County, MN",7.0717325
cty27079,"Le Sueur County, MN",6.8111048
cty27075,"Lake County, MN",5.8364
cty27081,"Lincoln County, MN",
cty27085,"McLeod County, MN",6.2555475
cty27089,"Marshall County, MN",
cty27103,"Nicollet County, MN",11.281404
cty27171,"Wright County, MN",10.927664
cty27123,"Ramsey County, MN",10.107424
cty27109,"Olmsted County, MN",9.8133507
cty27137,"St. Louis County, MN",7.7779827
cty27121,"Pope County, MN",7.7532129
cty27141,"Sherburne County, MN",7.3217754
cty27173,"Yellow Medicine County, MN",6.7890797
cty27111,"Otter Tail County, MN",6.658308
cty27169,"Winona County, MN",6.257246
cty27149,"Stevens County, MN",6.0857162
cty28007,"Attala County, MS",6.0128975
cty27117,"Pipestone County, MN",5.9923773
cty27145,"Stearns County, MN",5.9240608
cty27105,"Nobles County, MN",5.585248
cty28003,"Alcorn County, MS",5.4263582
cty27133,"Rock County, MN",5.4171276
cty27129,"Renville County, MN",5.3986158
cty27161,"Waseca County, MN",5.1510944
cty27093,"Meeker County, MN",5.138423
cty27097,"Morrison County, MN",5.07761
cty27147,"Steele County, MN",5.0692987
cty28001,"Adams County, MS",4.7794504
cty27143,"Sibley County, MN",4.6425295
cty27157,"Wabasha County, MN",4.5775633
cty27095,"Mille Lacs County, MN",4.481205
cty27127,"Redwood County, MN",4.2491283
cty27165,"Watonwan County, MN",4.2292175
cty27091,"Martin County, MN",4.164753
cty27099,"Mower County, MN",3.0474119
cty27101,"Murray County, MN",
cty27107,"Norman County, MN",
cty27153,"Todd County, MN",4.2257047
cty27115,"Pine County, MN",3.7002716
cty27159,"Wadena County, MN",3.5798073
cty27151,"Swift County, MN",2.5321083
cty28005,"Amite County, MS",1.861865
cty27113,"Pennington County, MN",1.1336403
cty27139,"Scott County, MN",
cty27167,"Wilkin County, MN",
cty28009,"Benton County, MS",
cty28089,"Madison County, MS",11.709328
cty28033,"DeSoto County, MS",11.114562
cty28071,"Lafayette County, MS",9.8419323
cty28073,"Lamar County, MS",8.1553478
cty28105,"Oktibbeha County, MS",7.9651489
cty28045,"Hancock County, MS",6.8796396
cty28035,"Forrest County, MS",6.6700363
cty28081,"Lee County, MS",6.4112482
cty28097,"Montgomery County, MS",6.2846804
cty28043,"Grenada County, MS",5.947731
cty28031,"Covington County, MS",5.9388762
cty28011,"Bolivar County, MS",5.4771862
cty28057,"Itawamba County, MS",5.3923211
cty28075,"Lauderdale County, MS",5.3716497
cty28085,"Lincoln County, MS",4.7211275
cty28095,"Monroe County, MS",4.3227243
cty28107,"Panola County, MS",4.1236925
cty28029,"Copiah County, MS",3.9733562
cty28039,"George County, MS",3.9287748
cty28091,"Marion County, MS",3.4225969
cty28059,"Jackson County, MS",3.3912621
cty28047,"Harrison County, MS",3.3670311
cty28109,"Pearl River County, MS",3.1856632
cty28015,"Carroll County, MS",2.954771
cty28111,"Perry County, MS",2.9259796
cty28067,"Jones County, MS",2.5724382
cty28103,"Noxubee County, MS",1.9826126
cty28087,"Lowndes County, MS",1.8623753
cty28013,"Calhoun County, MS",1.8595343
cty28025,"Clay County, MS",1.4103956
cty28017,"Chickasaw County, MS",0.36699486
cty28019,"Choctaw County, MS",
cty28021,"Claiborne County, MS",
cty28099,"Neshoba County, MS",2.2735376
cty28101,"Newton County, MS",1.8927116
cty28041,"Greene County, MS",1.8053117
cty28065,"Jefferson Davis County, MS",1.7980604
cty28051,"Holmes County, MS",1.6300287
cty28049,"Hinds County, MS",1.5573101
cty28093,"Marshall County, MS",1.0523014
cty28083,"Leflore County, MS",1.0420313
cty28023,"Clarke County, MS",0.92940331
cty28061,"Jasper County, MS",0.52651405
cty28027,"Coahoma County, MS",-0.6166563
cty28037,"Franklin County, MS",
cty28053,"Humphreys County, MS",
cty28063,"Jefferson County, MS",
cty28069,"Kemper County, MS",
cty29043,"Christian County, MO",13.125998
cty29047,"Clay County, MO",9.3421898
cty28121,"Rankin County, MS",8.8804684
cty29019,"Boone County, MO",8.5335579
cty28129,"Smith County, MS",8.3779297
cty29049,"Clinton County, MO",7.965807
cty29037,"Cass County, MO",7.9608145
cty29003,"Andrew County, MO",7.5967131
cty29029,"Camden County, MO",7.2087193
cty29031,"Cape Girardeau County, MO",6.9343643
cty29027,"Callaway County, MO",6.3955288
cty29011,"Barton County, MO",6.2139683
cty28117,"Prentiss County, MS",5.5477524
cty28127,"Simpson County, MS",5.4973135
cty29023,"Butler County, MO",5.4192905
cty28141,"Tishomingo County, MS",5.3180451
cty29021,"Buchanan County, MO",4.7286167
cty29013,"Bates County, MO",3.3292837
cty28115,"Pontotoc County, MS",3.2738781
cty28113,"Pike County, MS",3.1211462
cty28119,"Quitman County, MS",
cty28143,"Tunica County, MS",5.1890402
cty28147,"Walthall County, MS",4.489459
cty28149,"Warren County, MS",3.6607113
cty28151,"Washington County, MS",3.6056614
cty29039,"Cedar County, MO",3.5568905
cty28155,"Webster County, MS",3.3074179
cty28145,"Union County, MS",3.2222471
cty28159,"Winston County, MS",3.0272741
cty29009,"Barry County, MO",3.0135736
cty29015,"Benton County, MO",3.0002556
cty28135,"Tallahatchie County, MS",2.5623221
cty29007,"Audrain County, MO",2.2331772
cty28161,"Yalobusha County, MS",2.1530228
cty29017,"Bollinger County, MO",1.9324789
cty28139,"Tippah County, MS",1.0553684
cty28153,"Wayne County, MS",1.0435724
