cty,Name,Change_in_Poverty_Rate
cty17193,"White County, IL",-5.219635
cty18007,"Benton County, IN",
cty18041,"Fayette County, IN",
cty18157,"Tippecanoe County, IN",6.2419977
cty18093,"Lawrence County, IN",5.8065548
cty18117,"Orange County, IN",5.7510138
cty18105,"Monroe County, IN",5.364687
cty18167,"Vigo County, IN",5.0410576
cty18103,"Miami County, IN",4.9281893
cty18131,"Pulaski County, IN",4.8363123
cty18097,"Marion County, IN",4.5355206
cty18141,"St. Joseph County, IN",4.071619
cty18099,"Marshall County, IN",3.4542041
cty18127,"Porter County, IN",3.0262127
cty18181,"White County, IN",2.9579625
cty18145,"Shelby County, IN",2.914732
cty18169,"Wabash County, IN",2.8580675
cty18113,"Noble County, IN",2.7937813
cty18089,"Lake County, IN",2.7228699
cty18091,"LaPorte County, IN",2.4834185
cty18163,"Vanderburgh County, IN",2.4170418
cty18109,"Morgan County, IN",2.122993
cty18175,"Washington County, IN",2.0760698
cty18179,"Wells County, IN",1.9470382
cty18165,"Vermillion County, IN",1.6907148
cty18183,"Whitley County, IN",1.6390271
cty18147,"Spencer County, IN",1.5826435
cty18133,"Putnam County, IN",1.2851744
cty18125,"Pike County, IN",1.1791334
cty18135,"Randolph County, IN",0.978652
cty18107,"Montgomery County, IN",0.96523571
cty18149,"Starke County, IN",0.8359623
cty18153,"Sullivan County, IN",0.75968838
cty18129,"Posey County, IN",0.63990593
cty18137,"Ripley County, IN",0.43624306
cty18095,"Madison County, IN",0.38235283
cty18139,"Rush County, IN",0.31369972
cty18177,"Wayne County, IN",0.033242226
cty18173,"Warrick County, IN",-0.17551517
cty18159,"Tipton County, IN",-0.18745518
cty18111,"Newton County, IN",-0.89507914
cty18123,"Perry County, IN",-0.9261694
cty18101,"Martin County, IN",-0.96296501
cty18115,"Ohio County, IN",
cty18119,"Owen County, IN",-1.0492773
cty18121,"Parke County, IN",
cty18155,"Switzerland County, IN",-1.8535328
cty18143,"Scott County, IN",-3.2538033
cty18151,"Steuben County, IN",
cty18161,"Union County, IN",
cty18171,"Warren County, IN",
cty19001,"Adair County, IA",
cty19005,"Allamakee County, IA",-2.2094784
cty19007,"Appanoose County, IA",-3.5500717
cty19009,"Audubon County, IA",
cty19099,"Jasper County, IA",4.3273344
cty19029,"Cass County, IA",3.9627914
cty19087,"Henry County, IA",3.2709379
cty19015,"Boone County, IA",3.0401249
cty19021,"Buena Vista County, IA",3.0078602
cty19091,"Humboldt County, IA",2.9344101
cty19101,"Jefferson County, IA",2.8224487
cty19103,"Johnson County, IA",1.9114838
cty19057,"Des Moines County, IA",1.6112509
cty19033,"Cerro Gordo County, IA",1.5444126
cty19013,"Black Hawk County, IA",1.4785547
cty19083,"Hardin County, IA",0.94342804
cty19079,"Hamilton County, IA",0.66397953
cty19067,"Floyd County, IA",0.29050922
cty19023,"Butler County, IA",0.12942696
cty19081,"Hancock County, IA",-0.083075523
cty19095,"Iowa County, IA",-0.20932722
cty19045,"Clinton County, IA",-0.25607872
cty19027,"Carroll County, IA",-0.43973637
cty19059,"Dickinson County, IA",-0.46005249
cty19025,"Calhoun County, IA",-0.4752388
cty19069,"Franklin County, IA",-0.84589386
cty19037,"Chickasaw County, IA",-1.0694227
cty19049,"Dallas County, IA",-1.1036458
cty19065,"Fayette County, IA",-1.2203712
cty19017,"Bremer County, IA",-1.2922153
cty19105,"Jones County, IA",-1.6304541
cty19075,"Grundy County, IA",-1.8068509
cty19041,"Clay County, IA",-1.9206867
cty19061,"Dubuque County, IA",-1.9890184
cty19109,"Kossuth County, IA",-2.3189135
cty19063,"Emmet County, IA",-2.4028025
cty19089,"Howard County, IA",-2.4176435
cty19085,"Harrison County, IA",-2.4614601
cty19031,"Cedar County, IA",-2.5374532
cty19097,"Jackson County, IA",-3.0105667
cty19039,"Clarke County, IA",-3.0517082
cty19043,"Clayton County, IA",-3.0973463
cty19077,"Guthrie County, IA",-3.2623935
cty19107,"Keokuk County, IA",-3.3590755
cty19011,"Benton County, IA",-3.3810787
cty19055,"Delaware County, IA",-4.038476
cty19047,"Crawford County, IA",-4.5837507
cty19019,"Buchanan County, IA",-5.8560848
cty19035,"Cherokee County, IA",-6.406764
cty19051,"Davis County, IA",-10.380482
cty19053,"Decatur County, IA",
cty19071,"Fremont County, IA",
cty19073,"Greene County, IA",
cty19093,"Ida County, IA",
cty19137,"Montgomery County, IA",3.9445171
cty19127,"Marshall County, IA",3.9381666
cty19183,"Washington County, IA",3.8763266
cty19197,"Wright County, IA",3.5411434
cty19139,"Muscatine County, IA",1.9237595
cty19113,"Linn County, IA",1.5149374
cty20009,"Barton County, KS",1.337676
cty19155,"Pottawattamie County, IA",0.84512997
cty19115,"Louisa County, IA",0.64328861
cty19111,"Lee County, IA",0.29044247
cty19117,"Lucas County, IA",
cty19169,"Story County, IA",3.4739456
cty19187,"Webster County, IA",1.866786
cty19193,"Woodbury County, IA",1.0691671
cty19129,"Mills County, IA",0.80316257
cty19181,"Warren County, IA",0.30290794
cty19153,"Polk County, IA",0.21137524
cty19175,"Union County, IA",0.07883358
cty19163,"Scott County, IA",-0.13545322
cty19179,"Wapello County, IA",-0.38721371
cty20013,"Brown County, KS",-0.52005768
cty19161,"Sac County, IA",-0.59562969
cty19171,"Tama County, IA",-0.63340378
cty19157,"Poweshiek County, IA",-0.89418411
cty19189,"Winnebago County, IA",-1.3784676
cty19123,"Mahaska County, IA",-1.6661606
cty19167,"Sioux County, IA",-1.6951542
cty19165,"Shelby County, IA",-1.7811432
cty19125,"Marion County, IA",-2.2528286
cty20001,"Allen County, KS",-2.3950529
cty19145,"Page County, IA",-2.4044676
cty19131,"Mitchell County, IA",-3.1615372
cty19141,"O'Brien County, IA",-3.4135447
cty19121,"Madison County, IA",-3.8784637
cty19149,"Plymouth County, IA",-4.0072193
cty19191,"Winneshiek County, IA",-5.2131157
cty19119,"Lyon County, IA",-7.557189
cty19133,"Monona County, IA",
cty19135,"Monroe County, IA",
cty19143,"Osceola County, IA",
cty19147,"Palo Alto County, IA",
cty19151,"Pocahontas County, IA",
cty19159,"Ringgold County, IA",
cty19173,"Taylor County, IA",
cty19177,"Van Buren County, IA",
cty19185,"Wayne County, IA",
cty19195,"Worth County, IA",
cty20003,"Anderson County, KS",
cty20005,"Atchison County, KS",-3.4226742
cty20007,"Barber County, KS",
cty20011,"Bourbon County, KS",-5.5202227
cty20027,"Clay County, KS",
cty20029,"Cloud County, KS",
cty20031,"Coffey County, KS",
cty20057,"Ford County, KS",4.8414164
cty20161,"Riley County, KS",4.802742
cty20035,"Cowley County, KS",4.0873833
cty20133,"Neosho County, KS",1.6441832
cty20155,"Reno County, KS",1.3858232
cty20037,"Crawford County, KS",1.2253189
cty20139,"Osage County, KS",0.34735012
cty20169,"Saline County, KS",0.0020151138
cty20125,"Montgomery County, KS",-0.098381996
cty20041,"Dickinson County, KS",-2.9428005
cty20043,"Doniphan County, KS",
cty20055,"Finney County, KS",3.676034
cty20091,"Johnson County, KS",1.6202352
cty20099,"Labette County, KS",1.5945196
cty20113,"McPherson County, KS",1.5410147
cty20045,"Douglas County, KS",0.064146042
cty20103,"Leavenworth County, KS",0.0091309547
cty20115,"Marion County, KS",-0.15544319
cty20079,"Harvey County, KS",-0.26754761
cty20051,"Ellis County, KS",-0.6973362
cty20087,"Jefferson County, KS",-1.6918049
cty20085,"Jackson County, KS",-2.0792532
cty20059,"Franklin County, KS",-3.8597226
cty20061,"Geary County, KS",-4.5184078
cty20067,"Grant County, KS",
cty20073,"Greenwood County, KS",
cty20077,"Harper County, KS",
cty20095,"Kingman County, KS",
cty20121,"Miami County, KS",-0.83604288
cty20107,"Linn County, KS",-6.114975
cty20111,"Lyon County, KS",
cty20117,"Marshall County, KS",-4.7482109
cty20123,"Mitchell County, KS",
cty20127,"Morris County, KS",
cty20131,"Nemaha County, KS",-6.5845633
cty20137,"Norton County, KS",
cty20141,"Osborne County, KS",
cty20143,"Ottawa County, KS",
cty20145,"Pawnee County, KS",
cty20147,"Phillips County, KS",
cty20149,"Pottawatomie County, KS",-3.0940328
cty20151,"Pratt County, KS",
cty20157,"Republic County, KS",
cty20159,"Rice County, KS",-3.8382044
cty20163,"Rooks County, KS",
cty20167,"Russell County, KS",
cty20171,"Scott County, KS",
cty20177,"Shawnee County, KS",3.8477507
cty20191,"Sumner County, KS",3.287118
cty20175,"Seward County, KS",2.5838776
cty20173,"Sedgwick County, KS",2.1957798
cty20181,"Sherman County, KS",
cty20185,"Stafford County, KS",
cty20189,"Stevens County, KS",
cty20193,"Thomas County, KS",
cty20197,"Wabaunsee County, KS",
cty20201,"Washington County, KS",
cty20205,"Wilson County, KS",
cty20209,"Wyandotte County, KS",3.0695057
cty21067,"Fayette County, KY",2.8321171
cty21073,"Franklin County, KY",2.2439365
cty21019,"Boyd County, KY",2.1048794
cty21017,"Bourbon County, KY",2.0722675
cty21035,"Calloway County, KY",1.8579254
cty21047,"Christian County, KY",1.1784039
cty21021,"Boyle County, KY",0.97938919
cty21005,"Anderson County, KY",-0.079344749
cty21037,"Campbell County, KY",-0.63263226
cty21015,"Boone County, KY",-0.8110671
cty21011,"Bath County, KY",-0.8371067
cty21029,"Bullitt County, KY",-0.90485477
cty21065,"Estill County, KY",-1.1331711
cty21049,"Clark County, KY",-1.2065754
cty21009,"Barren County, KY",-1.512043
cty21045,"Casey County, KY",-1.6991901
cty21013,"Bell County, KY",-3.4661407
cty21001,"Adair County, KY",-3.9144917
cty21043,"Carter County, KY",-6.4634056
cty21003,"Allen County, KY",-6.828331
cty21007,"Ballard County, KY",
cty21023,"Bracken County, KY",
cty21059,"Daviess County, KY",-0.8952322
cty21027,"Breckinridge County, KY",-3.5423126
cty21071,"Floyd County, KY",-4.0357094
cty21033,"Caldwell County, KY",-4.1648684
cty21069,"Fleming County, KY",-4.169241
cty21041,"Carroll County, KY",-5.6080837
cty21031,"Butler County, KY",-6.2028236
cty21061,"Edmonson County, KY",-6.8809471
cty21025,"Breathitt County, KY",-8.3619556
cty21053,"Clinton County, KY",-8.3687515
cty21051,"Clay County, KY",-8.7052631
cty21055,"Crittenden County, KY",
cty21057,"Cumberland County, KY",
cty21063,"Elliott County, KY",
cty21075,"Fulton County, KY",
cty21077,"Gallatin County, KY",
cty21159,"Martin County, KY",3.8360481
cty21083,"Graves County, KY",3.0015793
cty21163,"Meade County, KY",1.5225143
cty21097,"Harrison County, KY",1.2275867
cty21117,"Kenton County, KY",1.0523663
cty21081,"Grant County, KY",0.92309856
cty21141,"Logan County, KY",0.83636475
cty21111,"Jefferson County, KY",0.83029652
cty21113,"Jessamine County, KY",0.77002811
cty21171,"Monroe County, KY",0.60982132
cty21107,"Hopkins County, KY",0.55944252
cty21145,"McCracken County, KY",-0.047473907
cty21177,"Muhlenberg County, KY",-0.068300247
cty21173,"Montgomery County, KY",-0.12047577
cty21161,"Mason County, KY",-0.28416443
cty21101,"Henderson County, KY",-0.64597225
cty21079,"Garrard County, KY",-0.81414032
cty21093,"Hardin County, KY",-0.98060894
cty21085,"Grayson County, KY",-1.4639797
cty21151,"Madison County, KY",-1.5564384
cty21157,"Marshall County, KY",-1.681179
cty21089,"Greenup County, KY",-2.0486546
cty21121,"Knox County, KY",-2.0879402
cty21103,"Henry County, KY",-2.3446045
cty21099,"Hart County, KY",-2.7777195
cty21095,"Harlan County, KY",-2.9952793
cty21087,"Green County, KY",-4.995863
cty21091,"Hancock County, KY",
cty21179,"Nelson County, KY",-3.058897
cty21133,"Letcher County, KY",-3.8941364
cty21155,"Marion County, KY",-4.5385151
cty21167,"Mercer County, KY",-4.6283722
cty21183,"Ohio County, KY",-5.4316368
cty21135,"Lewis County, KY",-5.588665
cty21125,"Laurel County, KY",-5.6357651
cty21127,"Lawrence County, KY",-5.6840782
cty21123,"Larue County, KY",-6.3347158
cty21115,"Johnson County, KY",-7.0348053
cty21153,"Magoffin County, KY",-8.3443146
cty21109,"Jackson County, KY",-8.7864437
cty21119,"Knott County, KY",
cty21129,"Lee County, KY",
cty21131,"Leslie County, KY",
cty21137,"Lincoln County, KY",-8.4203682
cty21139,"Livingston County, KY",
cty21143,"Lyon County, KY",
cty21147,"McCreary County, KY",-8.1576653
cty21149,"McLean County, KY",
cty21169,"Metcalfe County, KY",-8.536356
cty21175,"Morgan County, KY",
cty21181,"Nicholas County, KY",
cty21239,"Woodford County, KY",2.8051343
cty22029,"Concordia Parish, LA",2.7710114
cty21217,"Taylor County, KY",1.3797989
cty21203,"Rockcastle County, KY",1.0206566
cty21233,"Webster County, KY",0.45041656
cty21227,"Warren County, KY",0.3895607
cty21191,"Pendleton County, KY",0.35372734
cty22033,"East Baton Rouge Parish, LA",-0.15907097
cty21197,"Powell County, KY",-0.7372036
cty21229,"Washington County, KY",-0.83277512
cty21219,"Todd County, KY",-0.85742378
cty21185,"Oldham County, KY",-0.91686678
cty21213,"Simpson County, KY",-0.95445156
cty21225,"Union County, KY",-1.4473057
cty21205,"Rowan County, KY",-1.4971409
cty22019,"Calcasieu Parish, LA",-2.0106525
cty22015,"Bossier Parish, LA",-2.0949717
cty21211,"Shelby County, KY",-2.1596222
cty21221,"Trigg County, KY",-2.5984554
cty21207,"Russell County, KY",-2.6169243
cty21209,"Scott County, KY",-2.7011356
cty21199,"Pulaski County, KY",-2.7778034
cty22017,"Caddo Parish, LA",-2.9024162
cty21195,"Pike County, KY",-3.0345173
cty21235,"Whitley County, KY",-3.9553013
cty21193,"Perry County, KY",-4.8978577
cty22011,"Beauregard Parish, LA",-5.1747179
cty22045,"Iberia Parish, LA",-5.2338905
cty22013,"Bienville Parish, LA",-6.1005383
cty22005,"Ascension Parish, LA",-7.072794
cty21187,"Owen County, KY",-8.1647215
cty21215,"Spencer County, KY",-8.4765654
cty21223,"Trimble County, KY",
cty21231,"Wayne County, KY",
cty21237,"Wolfe County, KY",
cty22037,"East Feliciana Parish, LA",-3.0427361
cty22027,"Claiborne Parish, LA",-4.8335228
cty22031,"De Soto Parish, LA",-8.2230167
cty22007,"Assumption Parish, LA",-8.3291912
cty22021,"Caldwell Parish, LA",-8.9069462
cty22001,"Acadia Parish, LA",-9.1461716
cty22003,"Allen Parish, LA",-11.402281
cty22009,"Avoyelles Parish, LA",
cty22023,"Cameron Parish, LA",
cty22025,"Catahoula Parish, LA",
cty22035,"East Carroll Parish, LA",
cty23007,"Franklin County, ME",4.5408888
cty23001,"Androscoggin County, ME",4.1270952
cty23025,"Somerset County, ME",3.8822756
cty22087,"St. Bernard Parish, LA",3.6161146
cty23011,"Kennebec County, ME",2.6489649
cty23005,"Cumberland County, ME",2.4368095
cty23003,"Aroostook County, ME",2.4227371
cty22061,"Lincoln Parish, LA",2.1591396
cty23019,"Penobscot County, ME",1.7400541
cty23023,"Sagadahoc County, ME",1.432425
cty23021,"Piscataquis County, ME",1.20825
cty23017,"Oxford County, ME",1.145052
cty23015,"Lincoln County, ME",0.96539021
cty23009,"Hancock County, ME",0.63776207
cty23013,"Knox County, ME",0.34985256
cty22051,"Jefferson Parish, LA",-0.37982273
cty22127,"Winn Parish, LA",-1.5020676
cty22115,"Vernon Parish, LA",-1.8008327
cty22111,"Union Parish, LA",-2.1267948
cty22089,"St. Charles Parish, LA",-2.1860428
cty22063,"Livingston Parish, LA",-2.6032438
cty22067,"Morehouse Parish, LA",-2.7023067
cty22073,"Ouachita Parish, LA",-3.013031
cty22069,"Natchitoches Parish, LA",-3.2938366
cty22103,"St. Tammany Parish, LA",-3.4201651
cty22095,"St. John the Baptist Parish, LA",-3.6146774
cty22119,"Webster Parish, LA",-4.0510883
cty22079,"Rapides Parish, LA",-4.357317
cty22055,"Lafayette Parish, LA",-4.6540937
cty22059,"LaSalle Parish, LA",-5.156868
cty22123,"West Carroll Parish, LA",-5.3218613
cty22101,"St. Mary Parish, LA",-5.4476376
cty22121,"West Baton Rouge Parish, LA",-5.6443224
cty22117,"Washington Parish, LA",-7.0677166
cty22109,"Terrebonne Parish, LA",-7.2732964
cty22057,"Lafourche Parish, LA",-7.4400978
cty22071,"Orleans Parish, LA",-8.2356319
cty22077,"Pointe Coupee Parish, LA",-8.2367725
cty22053,"Jefferson Davis Parish, LA",-10.296722
cty22065,"Madison Parish, LA",
cty22075,"Plaquemines Parish, LA",
cty22081,"Red River Parish, LA",
cty22097,"St. Landry Parish, LA",-6.7563362
cty22085,"Sabine Parish, LA",-6.9994564
cty22113,"Vermilion Parish, LA",-8.0198059
cty22105,"Tangipahoa Parish, LA",-9.5181007
cty22099,"St. Martin Parish, LA",-11.19169
cty22083,"Richland Parish, LA",-11.498669
cty22091,"St. Helena Parish, LA",
cty22093,"St. James Parish, LA",
cty22125,"West Feliciana Parish, LA",
cty25013,"Hampden County, MA",3.6340828
cty25003,"Berkshire County, MA",2.7546797
cty25011,"Franklin County, MA",2.5256243
cty24005,"Baltimore County, MD",2.3388615
cty24039,"Somerset County, MD",2.0977402
cty26021,"Berrien County, MI",2.0240669
cty26025,"Calhoun County, MI",1.9184694
cty26007,"Alpena County, MI",1.908802
cty23031,"York County, ME",1.6266451
cty25005,"Bristol County, MA",1.6060019
cty26023,"Branch County, MI",1.5984678
cty25021,"Norfolk County, MA",1.4400926
cty25017,"Middlesex County, MA",1.2558174
cty26009,"Antrim County, MI",1.2197199
cty26005,"Allegan County, MI",1.1899738
cty24013,"Carroll County, MD",1.1847525
cty24029,"Kent County, MD",1.0186787
cty25027,"Worcester County, MA",0.99474335
cty24027,"Howard County, MD",0.91896605
cty25009,"Essex County, MA",0.76755714
cty24045,"Wicomico County, MD",0.74673367
cty24003,"Anne Arundel County, MD",0.74048996
cty25015,"Hampshire County, MA",0.72242928
cty24015,"Cecil County, MD",0.41574383
cty24017,"Charles County, MD",0.39849329
cty24043,"Washington County, MD",0.38494778
cty25025,"Suffolk County, MA",0.38301468
cty24025,"Harford County, MD",0.32450628
cty24037,"St. Mary's County, MD",0.20926857
cty25023,"Plymouth County, MA",0.039552212
cty24021,"Frederick County, MD",-0.02649641
cty23029,"Washington County, ME",-0.13375854
cty24009,"Calvert County, MD",-0.38831568
cty26015,"Barry County, MI",-0.58320427
cty24019,"Dorchester County, MD",-0.85529613
cty24035,"Queen Anne's County, MD",-0.87901115
cty26017,"Bay County, MI",-0.9381218
cty23027,"Waldo County, ME",-1.0452404
cty25001,"Barnstable County, MA",-1.0773463
cty24011,"Caroline County, MD",-1.1439056
cty24023,"Garrett County, MD",-1.659337
cty24001,"Allegany County, MD",-2.3076439
cty24031,"Montgomery County, MD",
cty24033,"Prince George's County, MD",
cty24047,"Worcester County, MD",-1.2142763
cty24510,"Baltimore city, MD",-1.7998066
cty26019,"Benzie County, MI",-1.8460417
cty26001,"Alcona County, MI",-2.3650942
cty24041,"Talbot County, MD",-2.3825493
cty26011,"Arenac County, MI",-3.1884842
cty26013,"Baraga County, MI",
cty26077,"Kalamazoo County, MI",4.5368271
cty26073,"Isabella County, MI",4.1147766
cty26081,"Kent County, MI",3.9555349
cty26099,"Macomb County, MI",3.6738873
cty26065,"Ingham County, MI",3.2375298
cty26067,"Ionia County, MI",2.9624252
cty26053,"Gogebic County, MI",2.9552975
cty26039,"Crawford County, MI",2.5570555
cty26059,"Hillsdale County, MI",2.5230513
cty26117,"Montcalm County, MI",2.5109358
cty26079,"Kalkaska County, MI",2.4788799
cty26125,"Oakland County, MI",2.1123734
cty26027,"Cass County, MI",2.0464239
cty26093,"Livingston County, MI",1.9728761
cty26057,"Gratiot County, MI",1.9630127
cty26045,"Eaton County, MI",1.8289289
cty26075,"Jackson County, MI",1.7327003
cty26103,"Marquette County, MI",1.7026834
cty26127,"Oceana County, MI",1.6715221
cty26091,"Lenawee County, MI",1.6644096
cty26061,"Houghton County, MI",1.5979652
cty26121,"Muskegon County, MI",1.4938183
cty26037,"Clinton County, MI",1.3368812
cty26105,"Mason County, MI",1.2135725
cty26087,"Lapeer County, MI",1.1339331
cty26049,"Genesee County, MI",0.86951828
cty26043,"Dickinson County, MI",0.80511093
cty26029,"Charlevoix County, MI",0.72624111
cty26111,"Midland County, MI",0.64476109
cty26055,"Grand Traverse County, MI",0.50549507
cty26031,"Cheboygan County, MI",0.2238121
cty26047,"Emmet County, MI",0.15320206
cty26069,"Iosco County, MI",0.09489727
cty26115,"Monroe County, MI",0.044734955
cty26123,"Newaygo County, MI",0.036519051
cty26119,"Montmorency County, MI",-0.17336273
cty26089,"Leelanau County, MI",-0.45951939
cty26033,"Chippewa County, MI",-0.596735
cty26113,"Missaukee County, MI",-0.72291756
cty26109,"Menominee County, MI",-1.0161476
cty26063,"Huron County, MI",-2.3045797
cty26041,"Delta County, MI",-2.6623545
cty26051,"Gladwin County, MI",-2.8281956
cty26071,"Iron County, MI",-3.4216776
cty26129,"Ogemaw County, MI",-3.7984829
cty26097,"Mackinac County, MI",-4.0088425
cty26035,"Clare County, MI",-4.4092655
cty26101,"Manistee County, MI",-4.9796371
cty26107,"Mecosta County, MI",-5.0654507
cty26085,"Lake County, MI",-7.2050495
cty26095,"Luce County, MI",
cty26131,"Ontonagon County, MI",
cty26133,"Osceola County, MI",-0.19185829
cty26135,"Oscoda County, MI",
cty26137,"Otsego County, MI",4.1905899
cty26143,"Roscommon County, MI",3.3688507
cty26149,"St. Joseph County, MI",3.3315496
cty26161,"Washtenaw County, MI",2.4368868
cty26157,"Tuscola County, MI",2.3627234
cty26155,"Shiawassee County, MI",2.1600857
cty27009,"Benton County, MN",1.9826393
cty27053,"Hennepin County, MN",1.902174
cty26165,"Wexford County, MI",1.8067026
cty26145,"Saginaw County, MI",1.6824131
cty27043,"Faribault County, MN",1.4781065
cty26139,"Ottawa County, MI",1.4751949
cty26159,"Van Buren County, MI",1.4219379
cty26163,"Wayne County, MI",1.3771667
cty27037,"Dakota County, MN",0.80307722
cty27015,"Brown County, MN",0.72279739
cty27003,"Anoka County, MN",0.6568222
cty27071,"Koochiching County, MN",0.50734806
cty26147,"St. Clair County, MI",0.43983364
cty27013,"Blue Earth County, MN",0.33936882
cty27055,"Houston County, MN",0.18367195
cty27019,"Carver County, MN",0.018008709
cty26151,"Sanilac County, MI",-0.061680794
cty27059,"Isanti County, MN",-0.10517502
cty27049,"Goodhue County, MN",-0.34739876
cty27063,"Jackson County, MN",-1.3615503
cty27017,"Carlton County, MN",-1.4078674
cty27039,"Dodge County, MN",-1.5829115
cty27047,"Freeborn County, MN",-1.6094322
cty26141,"Presque Isle County, MI",-2.6569901
cty26153,"Schoolcraft County, MI",
cty27025,"Chisago County, MN",-0.4497962
cty27041,"Douglas County, MN",-2.0400963
cty27027,"Clay County, MN",-2.8970232
cty27023,"Chippewa County, MN",-2.9127445
cty27045,"Fillmore County, MN",-2.9370279
cty27065,"Kanabec County, MN",-3.4376421
cty27061,"Itasca County, MN",-3.8223829
cty27033,"Cottonwood County, MN",-3.9148417
cty27067,"Kandiyohi County, MN",-4.1247759
cty27035,"Crow Wing County, MN",-4.3752346
cty27001,"Aitkin County, MN",-4.8420238
cty22041,"Franklin Parish, LA",-4.9317932
cty27057,"Hubbard County, MN",-5.0701036
cty27007,"Beltrami County, MN",-5.495882
cty27005,"Becker County, MN",-7.977809
cty27011,"Big Stone County, MN",
cty27021,"Cass County, MN",-7.8213377
cty22047,"Iberville Parish, LA",-9.0489807
cty22049,"Jackson Parish, LA",-9.2443733
cty22043,"Grant Parish, LA",-10.258862
cty22039,"Evangeline Parish, LA",-11.535513
cty27029,"Clearwater County, MN",
cty27073,"Lac qui Parle County, MN",
cty27103,"Nicollet County, MN",4.0668974
cty27099,"Mower County, MN",3.5004272
cty27169,"Winona County, MN",3.3434687
cty27075,"Lake County, MN",3.2919998
cty27123,"Ramsey County, MN",2.7753773
cty27165,"Watonwan County, MN",1.2749395
cty27131,"Rice County, MN",0.48273087
cty27137,"St. Louis County, MN",0.4044075
cty27163,"Washington County, MN",0.33384466
cty27085,"McLeod County, MN",0.21655369
cty27145,"Stearns County, MN",0.046730995
cty27139,"Scott County, MN",-0.52702832
cty27157,"Wabasha County, MN",-0.62405014
cty27143,"Sibley County, MN",-0.64424229
cty27119,"Polk County, MN",-0.89400578
cty27079,"Le Sueur County, MN",-1.748117
cty27081,"Lincoln County, MN",
cty27083,"Lyon County, MN",-0.94267654
cty27089,"Marshall County, MN",
cty27109,"Olmsted County, MN",0.65433598
cty27147,"Steele County, MN",-0.6531601
cty27171,"Wright County, MN",-1.2342305
cty27141,"Sherburne County, MN",-1.378037
cty27115,"Pine County, MN",-1.4171438
cty27135,"Roseau County, MN",-1.5530977
cty27111,"Otter Tail County, MN",-1.5984917
cty27093,"Meeker County, MN",-1.7039604
cty27095,"Mille Lacs County, MN",-1.9568806
cty27097,"Morrison County, MN",-3.0818396
cty27091,"Martin County, MN",-3.2241907
cty27101,"Murray County, MN",
cty27105,"Nobles County, MN",
cty27107,"Norman County, MN",
cty27127,"Redwood County, MN",-1.8471718
cty27129,"Renville County, MN",-1.8910456
cty27161,"Waseca County, MN",-1.9911962
cty28001,"Adams County, MS",-2.3437843
cty27117,"Pipestone County, MN",-3.7449932
cty28003,"Alcorn County, MS",-3.8182793
cty27173,"Yellow Medicine County, MN",-3.9140511
cty27133,"Rock County, MN",-4.0769529
cty28005,"Amite County, MS",-4.1729202
cty27113,"Pennington County, MN",-4.4825583
cty27151,"Swift County, MN",-4.49154
cty27121,"Pope County, MN",-4.7374954
cty27159,"Wadena County, MN",-5.0180264
cty27153,"Todd County, MN",-5.6150599
cty27149,"Stevens County, MN",-5.9708757
cty27167,"Wilkin County, MN",
cty28007,"Attala County, MS",-6.5916862
cty28009,"Benton County, MS",
cty28017,"Chickasaw County, MS",3.808815
cty28081,"Lee County, MS",3.7555542
cty28105,"Oktibbeha County, MS",3.2009869
cty28083,"Leflore County, MS",2.6517563
cty28043,"Grenada County, MS",2.4301662
cty28067,"Jones County, MS",1.3890476
cty28049,"Hinds County, MS",1.2832432
cty28071,"Lafayette County, MS",0.1745472
cty28013,"Calhoun County, MS",0.14799118
cty28109,"Pearl River County, MS",0.11014366
cty28075,"Lauderdale County, MS",-0.17890358
cty28095,"Monroe County, MS",-0.21082115
cty28087,"Lowndes County, MS",-0.8347168
cty28057,"Itawamba County, MS",-0.95665741
cty28023,"Clarke County, MS",-1.3126755
cty28059,"Jackson County, MS",-1.3333912
cty28033,"DeSoto County, MS",-1.3713284
cty28035,"Forrest County, MS",-1.6553364
cty28025,"Clay County, MS",-1.8319855
cty28101,"Newton County, MS",-2.47616
cty28085,"Lincoln County, MS",-3.1319542
cty28091,"Marion County, MS",-3.684866
cty28047,"Harrison County, MS",-4.1682987
cty28065,"Jefferson Davis County, MS",-4.2421265
cty28099,"Neshoba County, MS",-4.7174931
cty28073,"Lamar County, MS",-5.0033188
cty28011,"Bolivar County, MS",-5.0168877
cty28015,"Carroll County, MS",-5.183733
cty28019,"Choctaw County, MS",
cty28021,"Claiborne County, MS",
cty28107,"Panola County, MS",-5.459837
cty28031,"Covington County, MS",-5.5133801
cty28111,"Perry County, MS",-7.1766777
cty28093,"Marshall County, MS",-7.3971958
cty28097,"Montgomery County, MS",-7.6433372
cty28077,"Lawrence County, MS",-7.7650261
cty28029,"Copiah County, MS",-8.1868057
cty28045,"Hancock County, MS",-8.3836012
cty28061,"Jasper County, MS",-8.9687481
cty28027,"Coahoma County, MS",-9.4791107
cty28037,"Franklin County, MS",
cty28041,"Greene County, MS",-8.2541428
cty28103,"Noxubee County, MS",-9.0540428
cty28079,"Leake County, MS",-9.6344719
cty28089,"Madison County, MS",-10.309396
cty28051,"Holmes County, MS",-10.458248
cty28039,"George County, MS",-11.837016
cty28053,"Humphreys County, MS",
cty28063,"Jefferson County, MS",
cty28069,"Kemper County, MS",
cty29001,"Adair County, MO",3.6239166
cty28155,"Webster County, MS",2.0251904
