cty,Name,Change_in_Poverty_Rate
cty05053,"Grant County, AR",-5.3720331
cty05049,"Fulton County, AR",-6.697216
cty05073,"Lafayette County, AR",
cty05077,"Lee County, AR",
cty05095,"Monroe County, AR",
cty05097,"Montgomery County, AR",
cty05099,"Nevada County, AR",
cty05101,"Newton County, AR",
cty05117,"Prairie County, AR",
cty05127,"Scott County, AR",4.3417587
cty05131,"Sebastian County, AR",3.9479237
cty06033,"Lake County, CA",3.5105352
cty06029,"Kern County, CA",3.5047035
cty06055,"Napa County, CA",2.7829595
cty05143,"Washington County, AR",1.7444611
cty05125,"Saline County, AR",1.0829401
cty05129,"Searcy County, AR",
cty06015,"Del Norte County, CA",3.7132893
cty06011,"Colusa County, CA",2.471652
cty06045,"Mendocino County, CA",2.0975285
cty06053,"Monterey County, CA",1.6771193
cty06071,"San Bernardino County, CA",1.646615
cty06069,"San Benito County, CA",1.5683956
cty06013,"Contra Costa County, CA",1.3347878
cty06041,"Marin County, CA",1.2107663
cty06047,"Merced County, CA",1.190527
cty06059,"Orange County, CA",1.1337004
cty05133,"Sevier County, AR",0.99014664
cty06031,"Kings County, CA",0.95894432
cty06065,"Riverside County, CA",0.75430393
cty06067,"Sacramento County, CA",0.71883488
cty06079,"San Luis Obispo County, CA",0.59662437
cty06023,"Humboldt County, CA",0.57551956
cty06039,"Madera County, CA",0.53788948
cty06005,"Amador County, CA",0.50091553
cty06035,"Lassen County, CA",0.44714165
cty06021,"Glenn County, CA",0.39469337
cty06037,"Los Angeles County, CA",0.37518978
cty06057,"Nevada County, CA",0.33852625
cty06001,"Alameda County, CA",0.32443619
cty06073,"San Diego County, CA",0.20581055
cty06017,"El Dorado County, CA",-0.004796505
cty05149,"Yell County, AR",-0.0090923309
cty06009,"Calaveras County, CA",-0.35696507
cty06077,"San Joaquin County, CA",-0.39566803
cty06019,"Fresno County, CA",-0.52092171
cty06007,"Butte County, CA",-0.54753494
cty06063,"Plumas County, CA",-0.8985548
cty06061,"Placer County, CA",-0.9043417
cty06027,"Inyo County, CA",-1.0118771
cty05137,"Stone County, AR",-1.1159821
cty06075,"San Francisco County, CA",-1.1260042
cty05135,"Sharp County, AR",-1.2755146
cty05139,"Union County, AR",-1.352396
cty05145,"White County, AR",-2.3413353
cty05141,"Van Buren County, AR",-4.2021713
cty05147,"Woodruff County, AR",
cty06025,"Imperial County, CA",-2.5279007
cty06043,"Mariposa County, CA",-2.5377617
cty06049,"Modoc County, CA",
